URL                                                                                                                         , Product Title                                                                   , Product Description                                                             , Need/preference                                                  , Alternate Product Recommendation                                              , Flavour                               , Breed Size                              , Food Form, Lifestage
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-large-breed-chicken-dry              , Perfect Weight & Active Mobility Adult Large Dry Dog Food Chicken               , Perfect Weight & Active Mobility Adult Large Dry Dog Food Chicken               ,                                                                  ,                                                                               , with Chicken                          , Large Breed                             , Dry Food , "Adult, Senior"
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-small-mini-chicken-dry               , Perfect Weight & Active Mobility Small & Mini Dry Dog Food Chicken              , Perfect Weight & Active Mobility Small & Mini Dry Dog Food Chicken              ,                                                                  ,                                                                               , with Chicken                          , Small Breed                             , Dry Food , "Adult, Senior"
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-small-mini-chicken-brown-rice-dry                     , Perfect Digestion Adult Small & Mini Dry Dog Food Chicken & Brown Rice          , Perfect Digestion Adult Small & Mini Dry Dog Food Chicken & Brown Rice          ,                                                                  ,                                                                               , with Chicken and Brown Rice           , Small Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/ve-canine-adult-small-breed-with-lamb-rice-dry                                          , Multi-Benefit Adult Small & Mini Dry Dog Food                                   , Multi-Benefit Adult Small & Mini Dry Dog Food                                   ,                                                                  ,                                                                               , with Lamb & Rice                      , Small Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-neutereddog-adult-large-breed-dog-food-chicken-dry              , Multi-Benefit + Weight Adult 1+ Large Breed Dry Dog Food                        , Multi-Benefit + Weight Adult 1+ Large Breed Dry Dog Food                        , "Neutered-Sterilised, healthy weight"                            ,                                                                               , with Chicken                          , Large Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-healthy-digestive-biome-adult-large-dry                         , Multi-Benefit + Digestion Adult 1+ Large Breed Dry Dog Food                     , Multi-Benefit + Digestion Adult 1+ Large Breed Dry Dog Food                     , "Digestive Care, Healthy digestion"                              ,                                                                               , with Chicken                          , Large Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-healthy-digestive-biome-adult-small-mini-dry                    , Multi-Benefit + Digestion Adult 1+ Small & Mini Dry Dog Food                    , Multi-Benefit + Digestion Adult 1+ Small & Mini Dry Dog Food                    , "Digestive Care, Healthy digestion"                              ,                                                                               , with Chicken                          , Small Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/pd-canine-feline-prescription-diet-ad-canned                                            , a/d Dog/Cat Food                                                                , a/d Dog/Cat Food                                                                , Urgent Care                                                      , "Glucose Management, Digestive Care"                                          , with Chicken                          ,                                         , Wet Food , Adult
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-medium-breed-chicken-brown-rice-dry                   , Perfect Digestion Medium Adult 1+ Dog Food                                      , Perfect Digestion Medium Adult 1+ Dog Food                                      ,                                                                  ,                                                                               , with Chicken and Brown Rice           , Medium Breed                            , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-neutereddog-adult-small-breed-mini-dog-food-chicken-dry         , Multi-Benefit + Weight Adult 1+ Small & Mini Dry Dog Food                       , Multi-Benefit + Weight Adult 1+ Small & Mini Dry Dog Food                       , "Neutered-Sterilised, healthy weight, Small & Mini breed (<10kg)",                                                                               , with Chicken                          , Small Breed                             , Dry Food , "Adult, Senior"
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-chicken-vegetables-canned                             , Perfect Digestion Adult Dog Food                                                , Perfect Digestion Adult Dog Food                                                ,                                                                  ,                                                                               , with Chicken & added Vegetables       , "Small Breed, Medium Breed, Large Breed", Wet Food , Adult
https://www.hillspet.co.uk/dog-food/pd-canine-derm-complete-mini-dry                                                        , Derm Complete Mini Dog Food                                                     , Derm Complete Mini Dog Food                                                     , "Skin Care, Food Allergies"                                      , Digestive Care                                                                , Original                              , Small Breed                             , Dry Food , "Adult, Senior"
https://www.hillspet.co.uk/dog-food/ve-canine-adult-medium-with-lamb-rice-dry                                               , Multi-Benefit Adult Medium Dry Dog Food                                         , Multi-Benefit Adult Medium Dry Dog Food                                         ,                                                                  ,                                                                               , with Lamb & Rice                      , "Medium Breed, Large Breed"             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-neutereddog-adult-medium-dog-food-chicken-dry                   , Multi-Benefit + Weight Adult 1+ Medium Dry Dog Food                             , Multi-Benefit + Weight Adult 1+ Medium Dry Dog Food                             , "Neutered-Sterilised, healthy weight"                            ,                                                                               , with Chicken                          , "Medium Breed, Large Breed"             , Dry Food , Adult
